t,x,y,z,tx1,tx2,tx3,tx4,tx5,tx6,tx7,tx8,tx9,tx10,tx11,tx12,tx13,tx14,tx15,tx16,tx17,tx18,tx19,tx20,tx21,tx22,tx23,tx24,tx25
1667897347591.0,-584.78,-575.55,99.96,-82.0,-78.0,-68.0,-74.0,-81.0,-56.0,-72.0,-66.0,-66.0,-80.0,-66.0,-70.0,-56.0,-66.0,-60.0,-61.0,-58.0,-65.0,-55.0,-69.0,-63.0,-255.0,-255.0,-255.0,-79.0
1667897347925.0,-576.9,-616.25,93.17,-72.0,-80.0,-75.0,-74.0,-80.0,-78.0,-65.0,-62.0,-65.0,-81.0,-51.0,-69.0,-71.0,-63.0,-59.0,-60.0,-57.0,-61.0,-71.0,-58.0,-80.0,-255.0,-79.0,-255.0,-255.0
1667897348264.0,-532.53,-685.94,101.74,-79.0,-78.0,-63.0,-81.0,-72.0,-73.0,-79.0,-79.0,-63.0,-78.0,-81.0,-75.0,-72.0,-56.0,-54.0,-59.0,-56.0,-62.0,-73.0,-73.0,-255.0,-255.0,-77.0,-255.0,-255.0
1667897348603.0,-518.18,-714.67,99.24,-83.0,-79.0,-60.0,-80.0,-77.0,-76.0,-78.0,-71.0,-50.0,-73.0,-68.0,-63.0,-59.0,-56.0,-61.0,-60.0,-55.0,-49.0,-58.0,-55.0,-63.0,-255.0,-79.0,-255.0,-255.0
1667897348940.0,-476.59,-764.33,96.9,-82.0,-79.0,-66.0,-81.0,-73.0,-62.0,-77.0,-69.0,-69.0,-82.0,-77.0,-71.0,-68.0,-68.0,-45.0,-61.0,-53.0,-58.0,-69.0,-70.0,-66.0,-63.0,-255.0,-78.0,-255.0
1667897349273.0,-418.54,-802.02,100.28,-78.0,-71.0,-41.0,-70.0,-70.0,-67.0,-78.0,-74.0,-61.0,-82.0,-77.0,-79.0,-79.0,-75.0,-57.0,-57.0,-52.0,-59.0,-72.0,-68.0,-255.0,-255.0,-69.0,-255.0,-255.0
1667897349606.0,-400.59,-822.21,95.82,-84.0,-80.0,-65.0,-79.0,-80.0,-77.0,-82.0,-79.0,-73.0,-77.0,-78.0,-81.0,-76.0,-68.0,-64.0,-59.0,-50.0,-56.0,-63.0,-67.0,-255.0,-64.0,-255.0,-255.0,-81.0
1667897349939.0,-335.01,-852.3,100.11,-73.0,-62.0,-54.0,-78.0,-75.0,-57.0,-80.0,-74.0,-72.0,-73.0,-78.0,-81.0,-77.0,-70.0,-63.0,-62.0,-53.0,-57.0,-57.0,-255.0,-68.0,-255.0,-255.0,-80.0,-255.0
1667897350274.0,-282.36,-867.47,99.95,-74.0,-64.0,-64.0,-63.0,-73.0,-59.0,-74.0,-76.0,-70.0,-79.0,-75.0,-78.0,-81.0,-69.0,-70.0,-63.0,-54.0,-54.0,-68.0,-68.0,-66.0,-71.0,-67.0,-255.0,-255.0
1667897350606.0,-252.81,-884.25,93.43,-81.0,-76.0,-60.0,-80.0,-78.0,-77.0,-81.0,-79.0,-76.0,-84.0,-81.0,-82.0,-81.0,-77.0,-65.0,-69.0,-54.0,-255.0,-48.0,-255.0,-255.0,-69.0,-255.0,-255.0,-84.0
1667897350945.0,-174.82,-891.36,101.51,-62.0,-71.0,-62.0,-74.0,-73.0,-67.0,-74.0,-79.0,-72.0,-79.0,-76.0,-75.0,-76.0,-81.0,-61.0,-64.0,-57.0,-54.0,-67.0,-67.0,-72.0,-255.0,-74.0,-255.0,-77.0
1667897351280.0,-138.19,-897.43,99.66,-71.0,-63.0,-63.0,-75.0,-67.0,-54.0,-78.0,-73.0,-69.0,-79.0,-76.0,-77.0,-80.0,-79.0,-60.0,-64.0,-58.0,-53.0,-255.0,-67.0,-255.0,-255.0,-68.0,-255.0,-255.0
